,X,Y,ConsentNo,ConsentType,ConsentStatus,ActivityText,Permit_type,ActivityType,HolderName,Address,fmDate (Date this record number was issued),GivenEffectTo (Commencement date),Expires,GIS_TerritorialAuthority (Rating),GIS_Catchment,GIS_CWMSZone,GIS_SWAllocationZone,NZTMX,NZTMY,NZTOPO50,LINK,longitude,latitude
0,1535538.495,5169727.943,CRC201945,Water Permit (s14),Issued - Active,Water Take/Use,,,Dewhirst Trust Limited,"Highfield Road, Norwood",2020/10/06 00:00:00+00,2020/10/06 00:00:00+00,2035/09/11 00:00:00+00,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Selwyn-Waimakariri,1535538,5169727,BX22:35538-69727,http://ecan.govt.nz/data/consent-search/consentdetails/CRC201945,172.2010287868102,-43.62264255942693
1,1535957.461,5169573.827,CRC201945,Water Permit (s14),Issued - Active,Water Take/Use,,Take Groundwater,Dewhirst Trust Limited,"Highfield Road, Norwood",2020/10/06 00:00:00+00,2020/10/06 00:00:00+00,2035/09/11 00:00:00+00,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Selwyn-Waimakariri,1535957,5169573,BX22:3595-6957,http://ecan.govt.nz/data/consent-search/consentdetails/CRC201945,172.2062029306149,-43.624066276218166
2,1532385.555,5171299.256,CRC170163,Discharge Permit (s15),Issued - Active,Dairy Effluent,s15(1)(b) Discharge to Land,Discharge Contaminant into Land to Water,Dewhirst Trust Limited,"Coaltrack Road, Burnham",2016/08/30 00:00:00+00,2016/08/30 00:00:00+00,2031/08/30 00:00:00+00,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Selwyn-Waimakariri,1532385,5171299,BX22:3238-7129,http://ecan.govt.nz/data/consent-search/consentdetails/CRC170163,172.16214999309832,-43.60821599791378
3,1535562.657,5168720.058,CRC091397,Discharge Permit (s15),Issued - Active,Human Effluent,s15(1)(b) Discharge to Land,Discharge Contaminant into Land to Water,Dewhirst Trust Limited,"Corner of Coaltrack and Highfield Road, BURNHAM",2008/11/20 00:00:00+00,2009/02/16 00:00:00+00,2043/11/19 00:00:00+00,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Selwyn-Waimakariri,1535562,5168720,BX22:3556-6872,http://ecan.govt.nz/data/consent-search/consentdetails/CRC091397,172.20120807373232,-43.63171886535763
4,1530881.43,5171568.581,CRC170157,Discharge Permit (s15),Issued - Active,Dairy Effluent,s15(1)(b) Discharge to Land,Discharge Contaminant into Land to Water,Dewhirst Trust Limited,"Coaltrack Road, GREENDALE",2016/08/30 00:00:00+00,2006/11/17 00:00:00+00,2041/11/16 00:00:00+00,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Selwyn-Waimakariri,1530881,5171568,BX22:3088-7156,http://ecan.govt.nz/data/consent-search/consentdetails/CRC170157,172.143547938125,-43.60565311961617
5,1536467.477,5167555.505,CRC173769,Water Permit (s14),Issued - Active,Water Take/Use,,Take Groundwater,Dewhirst Trust Limited,"Main South Road, LEESTON",2016/05/30 00:00:00+00,2004/07/09 00:00:00+00,2035/01/31 00:00:00+00,Selwyn District,6800000 - Selwyn River,Selwyn - Waihora,Rakaia-Selwyn,1536467,5167555,BX22:36467-67555,http://ecan.govt.nz/data/consent-search/consentdetails/CRC173769,172.21228658505905,-43.64228142758463
6,1537207.282,5167398.85,CRC173769,Water Permit (s14),Issued - Active,Irrigation Area,,Take Groundwater,Dewhirst Trust Limited,"Main South Road, LEESTON",2016/05/30 00:00:00+00,2004/07/09 00:00:00+00,2035/01/31 00:00:00+00,Selwyn District,6800000 - Selwyn River,Selwyn - Waihora,"Rakaia-Selwyn, Selwyn-Waimakariri",1537207,5167398,BX22:3720-6739,http://ecan.govt.nz/data/consent-search/consentdetails/CRC173769,172.22144006633684,-43.64375466501049
7,1530908.796,5171901.687,CRC230113,Water Permit (s14),Issued - Active,Water Take/Use,,Take Groundwater,Mr & Mrs M G & G Dewhirst,"Coaltrack Road, Greendale",2024/11/07 00:00:00+00,2000/10/01 00:00:00+00,2035/01/31 00:00:00+00,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Selwyn-Waimakariri,1530908,5171901,BX22:3090-7190,http://ecan.govt.nz/data/consent-search/consentdetails/CRC230113,172.14392952541405,-43.602656663063925
8,1531318.901,5171242.916,CRC230113,Water Permit (s14),Issued - Active,Irrigation Area,,Take Groundwater,Mr & Mrs M G & G Dewhirst,"Coaltrack Road, Greendale",2024/11/07 00:00:00+00,2000/10/01 00:00:00+00,2035/01/31 00:00:00+00,Selwyn District,"6800000 - Selwyn River, 6822500 - Kowai/Waimak Water Race",Selwyn - Waihora,Selwyn-Waimakariri,1531318,5171242,BX22:31318-71242,http://ecan.govt.nz/data/consent-search/consentdetails/CRC230113,172.14892673437032,-43.608625605298705
9,1532968.143,5172397.708,CRC230113,Water Permit (s14),Issued - Active,Water Take/Use,,Take Groundwater,Mr & Mrs M G & G Dewhirst,"Coaltrack Road, Greendale",2024/11/07 00:00:00+00,2000/10/01 00:00:00+00,2035/01/31 00:00:00+00,Selwyn District,6822500 - Kowai/Waimak Water Race,Selwyn - Waihora,Selwyn-Waimakariri,1532968,5172397,BX22:3296-7239,http://ecan.govt.nz/data/consent-search/consentdetails/CRC230113,172.1695044945448,-43.59837910480333
